Username,Repo_name,Repo_link,Stars
electron,electron,https://github.com/electron/electron,102000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,78800
microsoft,playwright,https://github.com/microsoft/playwright,39800
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,35800
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,27300
ovity,octotree,https://github.com/ovity/octotree,22100
segmentio,nightmare,https://github.com/segmentio/nightmare,19200
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,19100
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14300
google,WebFundamentals,https://github.com/google/WebFundamentals,13300
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13200
casesandberg,react-color,https://github.com/casesandberg/react-color,10800
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,10300
crimx,ext-saladict,https://github.com/crimx/ext-saladict,9300
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,8800
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,8300
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8100
chromedp,chromedp,https://github.com/chromedp/chromedp,7800
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6600
kangvcar,InfoSpider,https://github.com/kangvcar/InfoSpider,6200
Kenshin,simpread,https://github.com/Kenshin/simpread,6000
yujiosaka,headless-chrome-crawler,https://github.com/yujiosaka/headless-chrome-crawler,5300
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,5100
MontFerret,ferret,https://github.com/MontFerret/ferret,5000
alyssaxuu,omni,https://github.com/alyssaxuu/omni,4900
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,4900
themerdev,themer,https://github.com/themerdev/themer,4800
browserless,chrome,https://github.com/browserless/chrome,4700
firefox-devtools,debugger,https://github.com/firefox-devtools/debugger,4600
burtonator,polar-bookshelf,https://github.com/burtonator/polar-bookshelf,4500
