Username,Repo_name,Repo_link,Stars
amphp,amp,https://github.com/amphp/amp,3600
danog,MadelineProto,https://github.com/danog/MadelineProto,2000
amphp,http-server,https://github.com/amphp/http-server,1200
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,722
amphp,http-client,https://github.com/amphp/http-client,614
amphp,parallel,https://github.com/amphp/parallel,588
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,320
amphp,byte-stream,https://github.com/amphp/byte-stream,293
amphp,mysql,https://github.com/amphp/mysql,277
amphp,parallel-functions,https://github.com/amphp/parallel-functions,226
amphp,process,https://github.com/amphp/process,179
amphp,socket,https://github.com/amphp/socket,166
amphp,redis,https://github.com/amphp/redis,129
amphp,dns,https://github.com/amphp/dns,121
kelunik,acme,https://github.com/kelunik/acme,111
amphp,sync,https://github.com/amphp/sync,111
amphp,websocket-client,https://github.com/amphp/websocket-client,103
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,92
amphp,websocket-server,https://github.com/amphp/websocket-server,78
amphp,file,https://github.com/amphp/file,74
jolicode,asynit,https://github.com/jolicode/asynit,69
amphp,cache,https://github.com/amphp/cache,77
amphp,serialization,https://github.com/amphp/serialization,76
amphp,postgres,https://github.com/amphp/postgres,63
amphp,windows-registry,https://github.com/amphp/windows-registry,72
amphp,hpack,https://github.com/amphp/hpack,71
amphp,beanstalk,https://github.com/amphp/beanstalk,59
phpinnacle,ridge,https://github.com/phpinnacle/ridge,47
amphp,aerys,https://github.com/amphp/aerys,45
amphp,cluster,https://github.com/amphp/cluster,43
