Username,Repo_name,Repo_link,Stars
ccxt,ccxt,https://github.com/ccxt/ccxt,25000
discordjs,discord.js,https://github.com/discordjs/discord.js,19700
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,19000
hubotio,hubot,https://github.com/hubotio/hubot,16200
RasaHQ,rasa,https://github.com/RasaHQ/rasa,14500
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,14400
wechaty,wechaty,https://github.com/wechaty/wechaty,13000
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,12400
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,11500
Rapptz,discord.py,https://github.com/Rapptz/discord.py,10900
howdyai,botkit,https://github.com/howdyai/botkit,10800
botpress,botpress,https://github.com/botpress/botpress,9700
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9000
leon-ai,leon,https://github.com/leon-ai/leon,8800
microsoft,ailab,https://github.com/microsoft/ailab,7100
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,7000
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,6800
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,6300
maxbbraun,trump2cash,https://github.com/maxbbraun/trump2cash,6100
telegraf,telegraf,https://github.com/telegraf/telegraf,5800
deepmipt,DeepPavlov,https://github.com/deepmipt/DeepPavlov,5800
botman,botman,https://github.com/botman/botman,5700
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,5300
axa-group,nlp.js,https://github.com/axa-group/nlp.js,5000
jef,streetmerchant,https://github.com/jef/streetmerchant,4800
BotsAppOfficial,BotsApp,https://github.com/BotsAppOfficial/BotsApp,4400
ohld,igbot,https://github.com/ohld/igbot,4200
jesse-ai,jesse,https://github.com/jesse-ai/jesse,4000
chrisleekr,binance-trading-bot,https://github.com/chrisleekr/binance-trading-bot,4000
