Username,Repo_name,Repo_link,Stars
ovity,octotree,https://github.com/ovity/octotree,22100
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,8500
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,5200
danger,danger,https://github.com/danger/danger,4900
danger,danger-js,https://github.com/danger/danger-js,4500
joho,awesome-code-review,https://github.com/joho/awesome-code-review,3500
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2000
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,1900
mbj,mutant,https://github.com/mbj/mutant,1800
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1600
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1400
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1200
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1100
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1200
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1100
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,840
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,803
enlightn,enlightn,https://github.com/enlightn/enlightn,671
palantir,policy-bot,https://github.com/palantir/policy-bot,495
bsamseth,cpp-project,https://github.com/bsamseth/cpp-project,478
uwolfer,gerrit-intellij-plugin,https://github.com/uwolfer/gerrit-intellij-plugin,446
mookid,diffr,https://github.com/mookid/diffr,444
mgreiler,code-review-checklist,https://github.com/mgreiler/code-review-checklist,441
JetBrains,Qodana,https://github.com/JetBrains/Qodana,349
dpnishant,raptor,https://github.com/dpnishant/raptor,329
wandersoncferreira,code-review,https://github.com/wandersoncferreira/code-review,326
sjparkinson,static-review,https://github.com/sjparkinson/static-review,327
burrito-brothers,shiba,https://github.com/burrito-brothers/shiba,290
charignon,github-review,https://github.com/charignon/github-review,286
erikthedeveloper,code-review-emoji-guide,https://github.com/erikthedeveloper/code-review-emoji-guide,236
