Username,Repo_name,Repo_link,Stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,65099
ccxt,ccxt,https://github.com/ccxt/ccxt,25000
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,18100
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17500
askmike,gekko,https://github.com/askmike/gekko,9900
bbfamily,abu,https://github.com/bbfamily/abu,9100
solana-labs,solana,https://github.com/solana-labs/solana,9000
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7100
dvf,blockchain,https://github.com/dvf/blockchain,7000
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6200
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,6100
spesmilo,electrum,https://github.com/spesmilo/electrum,5800
butor,blackbird,https://github.com/butor/blackbird,5600
btcsuite,btcd,https://github.com/btcsuite/btcd,4800
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4600
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4300
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,4000
bisq-network,bisq,https://github.com/bisq-network/bisq,4000
jesse-ai,jesse,https://github.com/jesse-ai/jesse,4000
coinpride,CryptoList,https://github.com/coinpride/CryptoList,3800
michaelgrosner,tribeca,https://github.com/michaelgrosner/tribeca,3700
Scanate,EthList,https://github.com/Scanate/EthList,3700
RomelTorres,alpha_vantage,https://github.com/RomelTorres/alpha_vantage,3700
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,3600
Zheaoli,awesome-coins,https://github.com/Zheaoli/awesome-coins,3600
bitpay,wallet,https://github.com/bitpay/wallet,3500
Jeiwan,blockchain_go,https://github.com/Jeiwan/blockchain_go,3400
cointop-sh,cointop,https://github.com/cointop-sh/cointop,3300
SqueezerIO,squeezer,https://github.com/SqueezerIO/squeezer,3300
bitcoin-wallet,bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,2900
