Username,Repo_name,Repo_link,Stars
babel,babel,https://github.com/babel/babel,41100
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24700
swc-project,swc,https://github.com/swc-project/swc,22800
kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit,21300
avajs,ava,https://github.com/avajs/ava,19900
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,19800
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15000
grab,front-end-guide,https://github.com/grab/front-end-guide,14500
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11000
grommet,grommet,https://github.com/grommet/grommet,7900
developit,htm,https://github.com/developit/htm,7700
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,5900
documentationjs,documentation,https://github.com/documentationjs/documentation,5600
insin,nwb,https://github.com/insin/nwb,5500
egoist,poi,https://github.com/egoist/poi,5300
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300
fkling,astexplorer,https://github.com/fkling/astexplorer,4700
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4700
babel,babel-loader,https://github.com/babel/babel-loader,4600
duxianwei520,react,https://github.com/duxianwei520/react,4600
jaredpalmer,backpack,https://github.com/jaredpalmer/backpack,4500
babel,minify,https://github.com/babel/minify,4300
thx,gogocode,https://github.com/thx/gogocode,3400
tleunen,babel-plugin-module-resolver,https://github.com/tleunen/babel-plugin-module-resolver,3200
andywer,webpack-blocks,https://github.com/andywer/webpack-blocks,3000
babel,babel-eslint,https://github.com/babel/babel-eslint,3000
privatenumber,esbuild-loader,https://github.com/privatenumber/esbuild-loader,3000
kunalkapadia,express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,2900
Atyantik,react-pwa,https://github.com/Atyantik/react-pwa,2500
