Username,Repo_name,Repo_link,Stars
ljianshu,Blog,https://github.com/ljianshu/Blog,7200
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7100
developit,unfetch,https://github.com/developit/unfetch,5300
jquery-form,form,https://github.com/jquery-form/form,5100
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,4700
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4300
ded,reqwest,https://github.com/ded/reqwest,2900
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2800
elbywan,wretch,https://github.com/elbywan/wretch,2400
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2400
wendux,ajax-hook,https://github.com/wendux/ajax-hook,2100
yisainan,web-interview,https://github.com/yisainan/web-interview,2100
ptaoussanis,sente,https://github.com/ptaoussanis/sente,1600
nette,tracy,https://github.com/nette/tracy,1500
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1300
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1300
k8w,tsrpc,https://github.com/k8w/tsrpc,1200
danielm,uploader,https://github.com/danielm/uploader,1100
swlib,saber,https://github.com/swlib/saber,960
opensource-socialnetwork,opensource-socialnetwork,https://github.com/opensource-socialnetwork/opensource-socialnetwork,872
webcreate,infinite-ajax-scroll,https://github.com/webcreate/infinite-ajax-scroll,861
rapidjs,rapid.js,https://github.com/rapidjs/rapid.js,710
karosLi,KKJSBridge,https://github.com/karosLi/KKJSBridge,590
cferdinandi,atomic,https://github.com/cferdinandi/atomic,539
GoogTech,sms-ssm,https://github.com/GoogTech/sms-ssm,524
dashborg,hibiki,https://github.com/dashborg/hibiki,420
englercj,resource-loader,https://github.com/englercj/resource-loader,399
jsGanttImproved,jsgantt-improved,https://github.com/jsGanttImproved/jsgantt-improved,386
klis87,redux-requests,https://github.com/klis87/redux-requests,361
loadingio,loading-bar,https://github.com/loadingio/loading-bar,359
